Machine Name,Lloyd LRX ,,1st,,,2nd,,,3rd,,,4th,,,5th,,,6th,
,50 N load cell at RT with a crosshead speed of 20 mm min−1 with 1-minute rest time,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,46.65,0.00,,40.92,0.00,,46.31,0.02,,41.21,0.00,,41.83,0.00,,41.00,0.00
,,,45.58,0.00,,39.91,0.00,,45.24,0.01,,40.21,0.00,,40.82,0.00,,39.99,0.00
,,,44.53,0.00,,38.92,0.00,,44.20,0.00,,39.22,0.00,,39.81,0.00,,39.00,0.00
,,,43.50,0.00,,37.94,0.00,,43.16,0.00,,38.24,0.00,,38.82,0.00,,38.02,0.00
,,,42.46,0.00,,36.97,0.00,,42.14,0.00,,37.26,0.00,,37.84,0.00,,37.05,0.00
,,,41.44,0.00,,36.01,0.00,,41.11,0.00,,36.30,0.00,,36.88,0.00,,36.08,0.00
,,,40.43,0.00,,35.06,0.00,,40.11,0.00,,35.35,0.00,,35.91,0.00,,35.14,0.00
,,,39.44,0.00,,34.13,0.00,,39.12,0.00,,34.41,0.00,,34.97,0.00,,34.21,0.00
,,,38.45,0.00,,33.21,0.00,,38.14,0.00,,33.48,0.00,,34.04,0.00,,33.28,0.00
,,,37.47,0.00,,32.29,0.00,,37.16,0.00,,32.56,0.00,,33.12,0.00,,32.36,0.00
,,,36.51,0.00,,31.39,0.00,,36.20,0.00,,31.66,0.00,,32.20,0.00,,31.46,0.00
,,,35.56,0.00,,30.50,0.00,,35.25,0.00,,30.77,0.00,,31.30,0.00,,30.58,0.00
,,,34.61,0.00,,29.62,0.00,,34.32,0.00,,29.88,0.00,,30.41,0.00,,29.69,0.00
,,,33.68,0.00,,28.75,0.00,,33.39,0.00,,29.01,0.00,,29.54,0.00,,28.82,0.00
,,,32.77,0.00,,27.89,0.00,,32.47,0.00,,28.16,0.00,,28.66,0.00,,27.96,0.00
,,,31.86,0.00,,27.06,0.00,,31.57,0.00,,27.30,0.00,,27.81,0.00,,27.12,0.00
,,,30.96,0.00,,26.22,0.00,,30.68,0.00,,26.46,0.00,,26.97,0.00,,26.28,0.00
,,,30.07,0.00,,25.39,0.00,,29.79,0.00,,25.64,0.00,,26.14,0.00,,25.46,0.00
,,,29.20,0.00,,24.58,0.00,,28.92,0.00,,24.83,0.00,,25.31,0.00,,24.65,0.00
,,,28.34,0.00,,23.79,0.00,,28.07,0.00,,24.03,0.00,,24.51,0.00,,23.86,0.00
,,,27.49,0.00,,23.00,0.00,,27.22,0.00,,23.23,0.00,,23.71,0.00,,23.06,0.00
,,,26.65,0.00,,22.22,0.00,,26.38,0.00,,22.46,0.00,,22.93,0.00,,22.29,0.00
,,,25.82,0.00,,21.46,0.00,,25.56,0.00,,21.70,0.00,,22.15,0.00,,21.52,0.00
,,,25.01,0.00,,20.72,0.00,,24.75,0.00,,20.94,0.00,,21.39,0.00,,20.78,0.00
,,,24.20,0.00,,19.97,0.00,,23.95,0.00,,20.19,0.00,,20.64,0.00,,20.03,0.00
,,,23.41,0.00,,19.24,0.00,,23.15,0.00,,19.46,0.00,,19.90,0.00,,19.30,0.00
,,,22.63,0.00,,18.53,0.00,,22.38,0.00,,18.75,0.00,,19.17,0.00,,18.59,0.00
,,,21.86,0.00,,17.83,0.00,,21.62,0.00,,18.04,0.00,,18.46,0.00,,17.89,0.00
,,,21.10,0.00,,17.14,0.00,,20.87,0.00,,17.34,0.00,,17.76,0.00,,17.19,0.00
,,,20.36,0.00,,16.46,0.00,,20.12,0.00,,16.66,0.00,,17.07,0.00,,16.51,0.00
