Machine Name,Lloyd LRX ,P40-HDO Undamaged,1,,,2,,,3,,,P40-HDO 3 hr Healing,1,,,2,,,3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,-0.47,0,,-0.54,0,,-0.45,-0.01,,,0,-0.02,,-0.55,0,,-0.27,-0.01
,,,160.69,0.56,,250.55,0.81,,145.25,0.68,,,74.6,0.45,,99.98,0.52,,85.64,0.42
,,,161.89,0.56,,252.36,0.81,,146.4,0.68,,,75.2,0.45,,100.75,0.52,,86.32,0.42
,,,163.08,0.57,,254.17,0.81,,147.55,0.68,,,75.81,0.45,,101.53,0.53,,87,0.42
,,,164.28,0.57,,255.98,0.81,,148.7,0.69,,,76.41,0.45,,102.31,0.53,,87.67,0.43
,,,165.47,0.57,,257.79,0.81,,149.85,0.69,,,77.01,0.45,,103.09,0.53,,88.35,0.43
,,,166.67,0.57,,259.6,0.82,,151,0.69,,,77.62,0.45,,103.87,0.53,,89.03,0.43
,,,167.86,0.57,,261.4,0.82,,152.15,0.69,,,78.22,0.46,,104.65,0.53,,89.71,0.43
,,,169.05,0.57,,263.21,0.82,,153.3,0.69,,,78.82,0.46,,105.43,0.53,,90.39,0.43
,,,170.25,0.57,,265.02,0.82,,154.45,0.7,,,79.43,0.46,,106.21,0.54,,91.06,0.43
,,,171.44,0.57,,266.83,0.83,,155.6,0.7,,,80.03,0.46,,106.98,0.54,,91.74,0.43
,,,172.64,0.58,,268.64,0.83,,156.75,0.7,,,80.63,0.46,,107.76,0.54,,92.42,0.43
,,,173.83,0.58,,270.44,0.83,,157.9,0.7,,,81.24,0.46,,108.54,0.54,,93.1,0.44
,,,175.03,0.58,,272.25,0.83,,159.05,0.7,,,81.84,0.46,,109.32,0.54,,93.78,0.44
,,,176.22,0.58,,274.06,0.83,,160.2,0.71,,,82.44,0.46,,110.1,0.54,,94.46,0.44
,,,177.41,0.58,,275.87,0.84,,161.35,0.71,,,83.05,0.47,,110.88,0.54,,95.13,0.44
