Machine Name,Bruker Avance III HD 600 MHz,,P40 - C NMR,
,5 mm PABBO BB Probe used with CDCL3 as solvent. 4096 scans carried out. ,,Chemical Shift / ppm,Intensity 
,,,1.81,2342.32
,,,1.82,3435.45
,,,1.82,3682.72
,,,1.82,3285.74
,,,1.82,2910.75
,,,1.82,2589.79
,,,1.83,2087.76
,,,1.83,1629.47
,,,1.83,1559.61
,,,1.83,1961.27
,,,1.83,2582.01
,,,1.83,3065.74
,,,1.84,3350.16
,,,1.84,3401.58
,,,1.84,3055.96
,,,1.84,2561.96
,,,1.84,2397.25
,,,1.85,2478.31
,,,1.85,2314.96
,,,1.85,1796.14
,,,1.85,1288.43
,,,1.85,951.37
,,,1.85,451.82
,,,1.86,-375.75
,,,1.86,-1058.54
,,,1.86,-984.85
,,,1.86,-117.04
,,,1.86,955.45
,,,1.87,1615.45
,,,1.87,1668.09
,,,1.87,1177.25
,,,1.87,335.08
,,,1.87,-421.08
,,,1.87,-710.73
,,,1.88,-559.97
,,,1.88,-117.27
,,,1.88,435.68
,,,1.88,674.71
,,,1.88,561.79
,,,1.89,713.33
,,,1.89,1146.58
,,,1.89,1056.43
,,,1.89,255.54
,,,1.89,-625.91
,,,1.89,-986.55
,,,1.9,-540.27
,,,1.9,330.28
,,,1.9,815.84
,,,1.9,781.57
,,,1.9,580.49
,,,1.91,245.52
,,,1.91,-117.88
,,,1.91,-149.63
,,,1.91,266.34
,,,1.91,1093.06
,,,1.91,2297.39
,,,1.92,3629.74
,,,1.92,4718.89
,,,1.92,5355.21
,,,1.92,5509.06
,,,1.92,5194.66
,,,1.93,4517.38
,,,1.93,3802.22
,,,1.93,3348.34
,,,1.93,3172.47
,,,1.93,3091.86
,,,1.93,2788.99
,,,1.94,2168.65
,,,1.94,1755.06
,,,1.94,2088.98
,,,1.94,3064.47
,,,1.94,4177.7
,,,1.95,4736.43
,,,1.95,4160.13
,,,1.95,2794.1
,,,1.95,1740.17
,,,1.95,1561.98
,,,1.95,1905.87
,,,1.96,2223.03
,,,1.96,2136.52
,,,1.96,1582.35
,,,1.96,1016.06
,,,1.96,844.53
,,,1.97,919.17
,,,1.97,1030.03
,,,1.97,908.5
,,,1.97,7.02
,,,1.97,-1561.32
,,,1.97,-2798.52
,,,1.98,-3023.17
,,,1.98,-2359.46
,,,1.98,-1326.19
,,,1.98,-317.24
,,,1.98,682.75
,,,1.99,1747.41
,,,1.99,2884.59
,,,1.99,4202.61
,,,1.99,5551.04
,,,1.99,6475.9
,,,1.99,6466.88
,,,2,5163.61
,,,2,3146.65
,,,2,1560.19
,,,2,538.55
,,,2,-371.27
,,,2.01,-1179.49
,,,2.01,-1965.53
,,,2.01,-2673.55
,,,2.01,-2616.85
,,,2.01,-1470.06
,,,2.01,241.11
