Machine Name,Lloyd LRX ,P35 Undamaged,1,,,2,,,3,,,4,,,P35 1 hr healing,1,,,2,,,3,,,P35 3 hr healing,1,,,2,,,3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,-0.9,0,,-7.1,-0.01,,-3.42,0,,-2.53,0,,,-2.38,0,,-2.6,-0.01,,-0.93,0,,,-1.57,0,,-1.91,0,,-8.51,0
,,,280.06,0.21,,194.13,0.14,,230.11,0.21,,236.18,0.31,,,79.39,0.18,,68.03,0.15,,72.43,0.24,,,89.51,0.19,,113.57,0.16,,107.25,0.14
,,,283.4,0.21,,196.56,0.14,,232.92,0.21,,239.05,0.31,,,80.47,0.18,,68.98,0.15,,73.36,0.24,,,90.69,0.19,,114.97,0.16,,108.71,0.14
,,,286.74,0.21,,198.98,0.14,,235.73,0.21,,241.92,0.31,,,81.55,0.18,,69.93,0.15,,74.29,0.24,,,91.87,0.19,,116.37,0.16,,110.17,0.14
,,,290.08,0.21,,201.41,0.14,,238.54,0.21,,244.79,0.31,,,82.63,0.18,,70.88,0.15,,75.22,0.24,,,93.06,0.19,,117.77,0.15,,111.63,0.14
,,,293.42,0.21,,203.84,0.14,,241.35,0.22,,247.66,0.31,,,83.71,0.18,,71.83,0.15,,76.15,0.24,,,94.24,0.19,,119.17,0.15,,113.09,0.14
,,,296.76,0.21,,206.27,0.14,,244.16,0.22,,250.53,0.31,,,84.79,0.18,,72.78,0.15,,77.08,0.24,,,95.43,0.19,,120.56,0.15,,114.55,0.14
,,,300.1,0.21,,208.69,0.14,,246.97,0.22,,253.39,0.31,,,85.87,0.18,,73.73,0.15,,78.01,0.24,,,96.61,0.19,,121.96,0.15,,116.01,0.14
,,,303.44,0.21,,211.12,0.14,,249.77,0.22,,256.26,0.31,,,86.95,0.18,,74.67,0.15,,78.94,0.24,,,97.8,0.19,,123.36,0.15,,117.47,0.14
,,,306.78,0.21,,213.55,0.14,,252.58,0.22,,259.13,0.31,,,88.03,0.18,,75.62,0.15,,79.87,0.24,,,98.98,0.19,,124.76,0.15,,118.93,0.14
,,,310.12,0.21,,215.97,0.14,,255.39,0.21,,262,0.31,,,89.11,0.18,,76.57,0.16,,80.8,0.24,,,100.16,0.19,,126.16,0.15,,120.39,0.14
,,,313.46,0.21,,218.4,0.14,,258.2,0.21,,264.87,0.31,,,90.19,0.18,,77.52,0.16,,81.73,0.24,,,101.35,0.19,,127.56,0.15,,121.85,0.14
,,,316.8,0.21,,220.83,0.14,,261.01,0.21,,267.74,0.31,,,91.27,0.18,,78.47,0.16,,82.66,0.24,,,102.53,0.19,,128.96,0.15,,123.31,0.14
,,,320.15,0.21,,223.26,0.14,,263.82,0.21,,270.61,0.31,,,92.35,0.19,,79.42,0.16,,83.59,0.24,,,103.72,0.19,,130.36,0.15,,124.77,0.14
,,,323.49,0.21,,225.68,0.14,,266.63,0.21,,273.48,0.31,,,93.43,0.19,,80.36,0.16,,84.52,0.25,,,104.9,0.19,,131.75,0.15,,126.23,0.14
,,,326.83,0.21,,228.11,0.14,,269.44,0.21,,276.35,0.31,,,94.51,0.19,,81.31,0.16,,85.45,0.25,,,106.08,0.19,,133.15,0.15,,127.69,0.14
,,,330.17,0.21,,230.54,0.14,,272.25,0.21,,279.22,0.31,,,95.59,0.19,,82.26,0.16,,86.38,0.25,,,107.27,0.19,,134.55,0.15,,129.15,0.14
