Machine Name,Agilent 1260 Infinity II GPC,P35,,,P40,,,P45,
,"2 x PLgel 5 ?m MIXED-C columns (polystyrene-divinylbenzene (PS/DVB), as well as a PLgel 5 ?m guard column at 35 °C and a flow rate of 1.0 mL.min-1 with THF containing 2.0% v/v triethylamine and 0.05% w/v BHT inhibitor as solvent.",logM,dwdlogM,,logM,dwdlogM,,logM,dwdlogM
,,4.94,0.28,,4.47,1,,5.17,0.04
,,4.94,0.29,,4.47,1,,5.17,0.04
,,4.94,0.29,,4.47,1,,5.16,0.04
,,4.93,0.3,,4.46,1,,5.16,0.05
,,4.93,0.31,,4.46,1,,5.15,0.05
,,4.92,0.31,,4.45,1,,5.15,0.05
,,4.92,0.32,,4.45,1,,5.15,0.05
,,4.92,0.33,,4.45,1,,5.14,0.05
,,4.91,0.33,,4.44,0.99,,5.14,0.06
,,4.91,0.34,,4.44,0.99,,5.13,0.06
,,4.91,0.35,,4.43,0.99,,5.13,0.06
,,4.9,0.35,,4.43,0.99,,5.13,0.06
,,4.9,0.36,,4.43,0.99,,5.12,0.06
,,4.89,0.37,,4.42,0.99,,5.12,0.07
,,4.89,0.38,,4.42,0.99,,5.12,0.07
,,4.89,0.38,,4.41,0.99,,5.11,0.07
,,4.88,0.39,,4.41,0.99,,5.11,0.07
,,4.88,0.4,,4.41,0.99,,5.1,0.08
,,4.87,0.4,,4.4,0.98,,5.1,0.08
,,4.87,0.41,,4.4,0.98,,5.1,0.08
,,4.87,0.42,,4.39,0.98,,5.09,0.09
,,4.86,0.43,,4.39,0.98,,5.09,0.09
,,4.86,0.44,,4.39,0.97,,5.08,0.09
,,4.85,0.44,,4.38,0.97,,5.08,0.09
,,4.85,0.45,,4.38,0.97,,5.08,0.1
,,4.85,0.46,,4.37,0.97,,5.07,0.1
,,4.84,0.47,,4.37,0.96,,5.07,0.1
,,4.84,0.48,,4.37,0.96,,5.06,0.11
,,4.83,0.48,,4.36,0.96,,5.06,0.11
,,4.83,0.49,,4.36,0.95,,5.06,0.11
,,4.83,0.5,,4.35,0.95,,5.05,0.12
,,4.82,0.51,,4.35,0.94,,5.05,0.12
,,4.82,0.52,,4.35,0.94,,5.04,0.13
,,4.81,0.53,,4.34,0.94,,5.04,0.13
,,4.81,0.53,,4.34,0.93,,5.04,0.13
,,4.81,0.54,,4.33,0.93,,5.03,0.14
,,4.8,0.55,,4.33,0.92,,5.03,0.14
,,4.8,0.56,,4.33,0.92,,5.02,0.15
,,4.79,0.57,,4.32,0.91,,5.02,0.15
,,4.79,0.58,,4.32,0.9,,5.02,0.16
,,4.79,0.59,,4.31,0.9,,5.01,0.16
,,4.78,0.6,,4.31,0.89,,5.01,0.16
,,4.78,0.61,,4.31,0.89,,5,0.17
,,4.77,0.62,,4.3,0.88,,5,0.17
,,4.77,0.62,,4.3,0.88,,5,0.18
,,4.77,0.63,,4.29,0.87,,4.99,0.18
,,4.76,0.64,,4.29,0.86,,4.99,0.19
,,4.76,0.65,,4.29,0.86,,4.98,0.19
,,4.75,0.66,,4.28,0.85,,4.98,0.2
,,4.75,0.67,,4.28,0.84,,4.98,0.2
,,4.75,0.68,,4.27,0.84,,4.97,0.21
,,4.74,0.69,,4.27,0.83,,4.97,0.22
,,4.74,0.7,,4.27,0.82,,4.96,0.22
,,4.73,0.71,,4.26,0.82,,4.96,0.23
,,4.73,0.72,,4.26,0.81,,4.96,0.23
,,4.73,0.73,,4.26,0.8,,4.95,0.24
,,4.72,0.74,,4.25,0.8,,4.95,0.24
,,4.72,0.74,,4.25,0.79,,4.94,0.25
,,4.71,0.75,,4.24,0.78,,4.94,0.26
,,4.71,0.76,,4.24,0.77,,4.94,0.26
,,4.71,0.77,,4.24,0.77,,4.93,0.27
,,4.7,0.78,,4.23,0.76,,4.93,0.27
,,4.7,0.79,,4.23,0.75,,4.92,0.28
,,4.69,0.8,,4.22,0.75,,4.92,0.29
,,4.69,0.81,,4.22,0.74,,4.92,0.29
,,4.69,0.81,,4.22,0.73,,4.91,0.3
,,4.68,0.82,,4.21,0.73,,4.91,0.31
,,4.68,0.83,,4.21,0.72,,4.91,0.31
,,4.68,0.84,,4.2,0.71,,4.9,0.32
,,4.67,0.85,,4.2,0.71,,4.9,0.33
,,4.67,0.85,,4.2,0.7,,4.89,0.33
,,4.66,0.86,,4.19,0.69,,4.89,0.34
,,4.66,0.87,,4.19,0.69,,4.89,0.35
,,4.66,0.88,,4.18,0.68,,4.88,0.35
,,4.65,0.88,,4.18,0.68,,4.88,0.36
,,4.65,0.89,,4.18,0.67,,4.87,0.37
,,4.64,0.9,,4.17,0.66,,4.87,0.38
